rectype,issueid,project_owner,project_name,actor,time,text,action,title,clean_text
rectype,issueid,project_owner,project_name,actor,time,text,action,title,text
issue_title,401,nilearn,nilearn,AlexandreAbraham,2015-02-05 14:33:28,"In `fetch_harvard_oxford`, we look for a path in `FSL_DIR`. We should also look into defautl fixed paths for all systems (eg /usr/share/fsl/data).
",start issue,Explore system paths in fetch_harvard_oxford,In look path We also look defautl fix path system eg usrsharefsldata
issue_closed,401,nilearn,nilearn,AlexandreAbraham,2015-04-17 07:37:30,,closed issue,Explore system paths in fetch_harvard_oxford,
issue_comment,401,nilearn,nilearn,banilo,2015-02-27 13:05:30,"Have we not addressed this issue in
https://github.com/nilearn/nilearn/blame/master/nilearn/datasets.py#L1569
?
",,,have address issu
issue_comment,401,nilearn,nilearn,AlexandreAbraham,2015-02-27 13:14:05,"No because FSL_DIR is not set by default on most setup. Thus we should explore some hardcoded absolute paths.
",,,No fsldir set default setup thu explor hardcod absolut path
issue_comment,401,nilearn,nilearn,AlexandreAbraham,2015-04-17 07:37:30,"Closing in favor of #486.
",,,close favor 486
